trial,migration_idx,sub_id,seed,trial_seed,encrypted,old_closest_pub,new_optimal_pub,received_pub,converged,convergence_ms,migration_class
25,12,1,42,67,1,12,1,-1,0,-1,farther
25,12,2,42,67,1,12,8,-1,0,-1,farther
25,12,3,42,67,1,12,1,-1,0,-1,farther
25,12,16,42,67,1,12,10,-1,0,-1,farther
25,12,18,42,67,1,12,14,-1,0,-1,farther
25,12,33,42,67,1,12,10,-1,0,-1,farther
25,12,37,42,67,1,2,12,12,1,0.254777,closer
25,13,1,42,67,1,12,4,4,1,0.277859,closer
25,13,2,42,67,1,12,4,4,1,0.279041,closer
25,13,7,42,67,1,4,15,-1,0,-1,farther
25,13,13,42,67,1,1,4,4,1,0.280222,closer
25,13,18,42,67,1,12,4,4,1,0.281214,closer
25,13,23,42,67,1,4,15,-1,0,-1,farther
25,13,26,42,67,1,4,19,-1,0,-1,farther
25,14,4,42,67,1,7,9,9,1,0.171283,closer
25,15,0,42,67,1,1,6,-1,0,-1,farther
25,15,10,42,67,1,13,1,1,1,0.166387,closer
25,15,20,42,67,1,1,3,-1,0,-1,farther
25,15,34,42,67,1,1,4,-1,0,-1,farther
25,15,48,42,67,1,1,4,-1,0,-1,farther
25,16,1,42,67,1,4,3,-1,0,-1,farther
25,16,2,42,67,1,4,8,-1,0,-1,farther
25,16,7,42,67,1,4,15,-1,0,-1,farther
25,16,13,42,67,1,4,8,-1,0,-1,farther
25,16,18,42,67,1,4,14,-1,0,-1,farther
25,16,23,42,67,1,4,15,-1,0,-1,farther
25,16,25,42,67,1,3,4,4,1,0.165295,closer
25,16,26,42,67,1,4,19,-1,0,-1,farther
25,17,15,42,67,1,10,15,-1,0,-1,farther
25,17,17,42,67,1,10,3,-1,0,-1,farther
25,17,37,42,67,1,12,10,10,1,0.265362,closer
25,17,40,42,67,1,10,3,-1,0,-1,farther
25,18,2,42,67,1,4,19,19,1,0.169061,closer
25,18,18,42,67,1,4,19,19,1,0.19765,closer
25,19,29,42,67,1,7,0,-1,0,-1,farther
26,0,13,42,68,1,13,19,19,1,0.182188,closer
26,0,25,42,68,1,3,19,19,1,0.18318,closer
26,0,37,42,68,1,19,15,-1,0,-1,farther
26,0,40,42,68,1,13,19,19,1,0.184041,closer
26,0,42,42,68,1,0,19,19,1,0.184772,closer
26,1,3,42,68,1,3,12,-1,0,-1,farther
26,1,8,42,68,1,3,12,-1,0,-1,farther
26,1,34,42,68,1,3,12,-1,0,-1,farther
26,1,35,42,68,1,11,3,3,1,0.190599,closer
26,1,36,42,68,1,3,19,-1,0,-1,farther
26,1,37,42,68,1,19,3,3,1,0.191951,closer
26,2,0,42,68,1,8,12,12,1,0.206621,closer
26,2,28,42,68,1,1,12,12,1,0.208103,closer
26,2,29,42,68,1,12,6,-1,0,-1,farther
26,2,32,42,68,1,12,6,-1,0,-1,farther
26,3,27,42,68,1,17,11,11,1,0.175269,closer
26,3,45,42,68,1,11,14,-1,0,-1,farther
26,4,15,42,68,1,15,8,-1,0,-1,farther
26,4,24,42,68,1,9,15,15,1,0.180546,closer
26,4,30,42,68,1,18,15,15,1,0.207814,closer
26,4,31,42,68,1,4,15,15,1,0.23427,closer
26,4,38,42,68,1,9,15,15,1,0.253416,closer
26,4,41,42,68,1,18,15,15,1,0.274965,closer
26,5,15,42,68,1,15,8,-1,0,-1,farther
26,5,24,42,68,1,15,9,-1,0,-1,farther
26,5,30,42,68,1,15,18,-1,0,-1,farther
26,5,31,42,68,1,15,4,-1,0,-1,farther
26,5,38,42,68,1,15,9,-1,0,-1,farther
26,5,41,42,68,1,15,18,-1,0,-1,farther
26,6,0,42,68,1,12,19,19,1,0.435423,closer
26,6,7,42,68,1,1,19,19,1,0.436515,closer
26,6,13,42,68,1,19,13,-1,0,-1,farther
26,6,17,42,68,1,6,19,19,1,0.437536,closer
26,6,25,42,68,1,19,6,-1,0,-1,farther
26,6,40,42,68,1,19,13,-1,0,-1,farther
26,6,42,42,68,1,19,0,-1,0,-1,farther
26,6,48,42,68,1,6,19,19,1,0.438618,closer
26,7,25,42,68,1,19,0,0,1,0.255118,closer
26,7,36,42,68,1,3,0,0,1,0.279631,closer
26,8,1,42,68,1,14,16,16,1,0.640934,closer
26,8,10,42,68,1,16,7,-1,0,-1,farther
26,8,20,42,68,1,17,16,16,1,0.642476,closer
26,8,21,42,68,1,18,16,16,1,0.643347,closer
26,8,46,42,68,1,17,16,16,1,0.643988,closer
26,9,16,42,68,1,1,12,-1,0,-1,farther
26,9,29,42,68,1,12,1,1,1,0.742152,closer
26,9,31,42,68,1,15,1,1,1,0.743253,closer
26,9,32,42,68,1,12,1,1,1,0.743924,closer
26,10,2,42,68,1,2,7,-1,0,-1,farther
26,10,14,42,68,1,2,11,-1,0,-1,farther
26,11,4,42,68,1,10,7,-1,0,-1,farther
26,11,12,42,68,1,10,13,-1,0,-1,farther
26,11,43,42,68,1,10,13,-1,0,-1,farther
26,12,8,42,68,1,3,12,12,1,0.176991,closer
26,12,25,42,68,1,0,12,12,1,0.20513,closer
26,12,28,42,68,1,12,19,-1,0,-1,farther
26,12,36,42,68,1,0,12,12,1,0.230474,closer
26,13,13,42,68,1,19,7,7,1,0.431097,closer
26,13,39,42,68,1,7,8,-1,0,-1,farther
26,13,40,42,68,1,19,7,7,1,0.738506,closer
26,14,10,42,68,1,16,0,0,1,1.85341,closer
26,14,39,42,68,1,7,0,0,1,1.87609,closer
26,15,2,42,68,1,2,15,15,1,0.474256,closer
26,15,15,42,68,1,15,10,-1,0,-1,farther
26,15,24,42,68,1,15,9,-1,0,-1,farther
26,15,30,42,68,1,15,18,-1,0,-1,farther
26,15,38,42,68,1,15,1,-1,0,-1,farther
26,15,41,42,68,1,15,18,-1,0,-1,farther
26,16,18,42,68,1,8,15,-1,0,-1,farther
26,16,25,42,68,1,12,8,8,1,0.161651,closer
26,16,36,42,68,1,12,8,8,1,0.162702,closer
26,16,49,42,68,1,8,19,-1,0,-1,farther
26,17,22,42,68,1,18,5,-1,0,-1,farther
26,17,44,42,68,1,18,4,-1,0,-1,farther
26,17,47,42,68,1,18,4,-1,0,-1,farther
26,18,3,42,68,1,3,9,-1,0,-1,farther
26,18,34,42,68,1,3,12,-1,0,-1,farther
