seed,trial,trial_seed,num_pubs,num_subs,brake_limit,sub_id,sub_lat,sub_lon,sub_broker,optimal_pub_id,optimal_dist,received,received_pub_id,received_dist,stretch,recall
42,3,45,20,50,2,6,-0.19339,160.135,2,1,28.1469,1,1,28.1469,1,1
42,3,45,20,50,2,7,58.1194,93.1796,2,13,9.76817,1,3,18.7385,1.91832,0
42,3,45,20,50,2,8,-10.959,62.5913,2,9,55.5653,1,3,56.7658,1.02161,0
42,3,45,20,50,2,9,-5.34523,-174.819,1,14,18.9302,1,0,31.5513,1.66671,0
42,3,45,20,50,2,10,34.4663,-148.426,1,0,16.0915,1,0,16.0915,1,1
42,3,45,20,50,2,11,-54.2535,99.9163,2,9,13.3841,1,7,30.2572,2.26068,0
42,3,45,20,50,2,12,-35.697,-84.2938,1,4,15.9327,1,4,15.9327,1,1
42,3,45,20,50,2,13,66.8305,-26.7031,1,19,14.5571,1,6,74.4157,5.11199,0
42,3,45,20,50,2,14,-80.4864,76.7246,2,7,7.02011,1,7,7.02011,1,1
42,3,45,20,50,2,15,47.7313,-137.259,1,0,31.9045,1,0,31.9045,1,1
42,3,45,20,50,2,16,80.625,-53.231,1,19,19.1515,1,6,78.4886,4.0983,0
42,3,45,20,50,2,17,37.0848,-9.5361,1,19,39.8656,1,6,70.0091,1.75613,0
42,3,45,20,50,2,18,-87.0111,155.572,2,2,1.63648,1,2,1.63648,1,1
42,3,45,20,50,2,19,22.6107,7.2486,1,19,62.0394,1,3,72.3005,1.1654,0
42,3,45,20,50,2,20,-35.7535,2.46976,1,12,8.2391,1,7,48.3006,5.86236,0
42,3,45,20,50,2,21,-50.9183,108.106,2,18,16.9137,1,7,36.1265,2.13593,0
42,3,45,20,50,2,22,-8.69781,-165.598,1,14,23.6603,1,0,30.0839,1.27149,0
42,3,45,20,50,2,23,10.6429,140.686,2,1,7.26265,1,1,7.26265,1,1
42,3,45,20,50,2,24,38.4967,-169.405,1,0,22.5308,1,0,22.5308,1,1
42,3,45,20,50,2,25,72.9338,-34.0739,1,19,14.6476,1,3,76.258,5.20617,0
42,3,45,20,50,2,26,-68.9155,-142.639,1,17,9.03711,1,4,36.0491,3.98901,0
42,3,45,20,50,2,27,-57.0788,-29.2251,1,12,22.2564,1,4,30.0605,1.35065,0
42,3,45,20,50,2,28,-23.4666,-160.497,1,10,38.0526,1,0,43.3781,1.13995,0
42,3,45,20,50,2,29,62.0359,-27.906,1,19,14.159,1,6,70.4791,4.97767,0
42,3,45,20,50,2,30,48.114,39.5345,2,13,25.5608,1,3,36.9181,1.44432,0
42,3,45,20,50,2,31,7.41748,77.4781,2,3,33.9218,1,3,33.9218,1,1
42,3,45,20,50,2,32,83.1517,-90.9954,1,19,23.8455,1,0,75.1789,3.15275,0
42,3,45,20,50,2,33,-56.029,172.281,2,2,33.437,1,2,33.437,1,1
42,3,45,20,50,2,34,-57.7118,113.163,2,18,10.9206,1,7,30.8523,2.82516,0
42,3,45,20,50,2,35,-0.235039,-6.93063,1,12,43.22,1,6,68.4692,1.5842,0
42,3,45,20,50,2,36,-32.1834,77.6933,2,9,32.2162,1,7,46.7777,1.452,0
42,3,45,20,50,2,37,-39.4122,98.2375,2,9,26.6676,1,7,44.791,1.6796,0
42,3,45,20,50,2,38,46.0477,122.461,2,8,23.2782,1,3,25.1694,1.08124,0
42,3,45,20,50,2,39,29.462,-10.9111,1,19,45.9377,1,6,66.7992,1.45413,0
42,3,45,20,50,2,40,66.5283,24.7915,2,13,22.0724,1,3,47.2523,2.14078,0
42,3,45,20,50,2,41,67.5075,175.226,2,13,41.5692,1,1,57.192,1.37583,0
42,3,45,20,50,2,42,31.0761,-159.143,1,0,11.969,1,0,11.969,1,1
